date,krw_to_vnd,state
2025-06-01,18.5745,approved
2025-06-02,18.4846,approved
2025-06-03,18.6079,approved
2025-06-04,18.7446,approved
2025-06-05,18.4864,approved
2025-06-06,18.4917,approved
2025-06-07,18.7691,approved
2025-06-08,18.6527,approved
2025-06-09,18.4725,approved
2025-06-10,18.6297,approved
2025-06-11,18.4842,approved
2025-06-12,18.4892,approved
2025-06-13,18.6007,approved
2025-06-14,18.2828,approved
2025-06-15,18.3164,approved
2025-06-16,18.4962,approved
2025-06-17,18.434,approved
2025-06-18,18.6384,approved
2025-06-19,18.4604,approved
2025-06-20,18.3902,approved
2025-06-21,18.8272,approved
2025-06-22,18.5789,approved
2025-06-23,18.6283,approved
2025-06-24,18.4098,approved
2025-06-25,18.5472,approved
2025-06-26,18.6509,approved
2025-06-27,18.4669,approved
2025-06-28,18.7013,approved
2025-06-29,18.5602,approved
2025-06-30,18.612,approved
2025-07-01,18.5708,approved
2025-07-02,18.9443,approved
2025-07-03,18.6698,approved
2025-07-04,18.5185,approved
2025-07-05,18.8059,approved
2025-07-06,18.5048,approved
2025-07-07,18.7246,approved
2025-07-08,18.4047,approved
2025-07-09,18.5048,approved
2025-07-10,18.7389,approved
2025-07-11,18.8255,approved
2025-07-12,18.7458,approved
2025-07-13,18.7082,approved
2025-07-14,18.6857,approved
2025-07-15,18.5145,approved
2025-07-16,18.6336,approved
2025-07-17,18.6779,approved
2025-07-18,18.9109,approved
2025-07-19,18.8093,approved
2025-07-20,18.4986,approved
2025-07-21,18.8171,approved
2025-07-22,18.7161,approved
2025-07-23,18.6777,approved
2025-07-24,18.8763,approved
2025-07-25,18.9446,approved
2025-07-26,18.935,approved
2025-07-27,18.6748,approved
2025-07-28,18.7597,approved
2025-07-29,18.8611,approved
2025-07-30,18.9631,approved
2025-07-31,18.7503,approved
2025-08-01,18.7997,approved
2025-08-02,18.6669,approved
2025-08-03,18.6588,approved
2025-08-04,18.9655,approved
2025-08-05,19.0524,approved
2025-08-06,18.8436,approved
2025-08-07,19.0103,approved
2025-08-08,18.9193,approved
2025-08-09,18.7737,approved
2025-08-10,18.93,approved
2025-08-11,19.1119,approved
2025-08-12,18.8812,approved
2025-08-13,19.1266,approved
2025-08-14,18.5044,approved
2025-08-15,19.026,approved
2025-08-16,18.9211,approved
2025-08-17,18.8686,approved
2025-08-18,18.9326,approved
2025-08-19,18.626,approved
2025-08-20,18.8966,approved
2025-08-21,18.9885,approved
2025-08-22,19.162,approved
2025-08-23,18.8679,approved
2025-08-24,18.8297,approved
2025-08-25,18.8811,approved
2025-08-26,19.0991,approved
2025-08-27,19.0164,approved
2025-08-28,18.893,approved
2025-08-29,19.0548,approved
2025-08-30,18.9978,approved
2025-08-31,19.1339,approved
2025-09-01,18.8887,approved
2025-09-02,18.9502,approved
2025-09-03,18.9459,approved
2025-09-04,18.7905,approved
2025-09-05,19.0599,approved
2025-09-06,19.06,approved
2025-09-07,19.0269,approved
2025-09-08,18.9964,approved
2025-09-09,18.8246,approved
2025-09-10,18.9792,approved
2025-09-11,18.9962,approved
2025-09-12,18.9327,approved
2025-09-13,19.0342,approved
2025-09-14,19.1244,approved
2025-09-15,19.3521,approved
2025-09-16,19.1007,approved
2025-09-17,19.1185,approved
2025-09-18,19.0741,approved
2025-09-19,18.8028,approved
2025-09-20,19.092,approved
2025-09-21,19.1104,approved
2025-09-22,19.4762,approved
2025-09-23,19.0832,approved
2025-09-24,19.1627,approved
2025-09-25,19.1176,approved
2025-09-26,18.9529,approved
2025-09-27,19.305,approved
2025-09-28,19.2517,approved
2025-09-29,19.263,approved
2025-09-30,19.0133,approved
2025-10-01,19.3655,approved
2025-10-02,18.9501,approved
2025-10-03,19.2538,approved
2025-10-04,19.4997,approved
2025-10-05,19.0279,approved
2025-10-06,19.0969,approved
2025-10-07,19.2022,approved
2025-10-08,19.1171,approved
2025-10-09,18.9654,approved
2025-10-10,19.2136,approved
2025-10-11,19.0494,approved
2025-10-12,19.2851,approved
2025-10-13,19.0815,approved
2025-10-14,19.4573,approved
2025-10-15,19.1127,approved
2025-10-16,19.1873,approved
2025-10-17,19.363,approved
2025-10-18,19.0617,approved
2025-10-19,19.2858,approved
2025-10-20,19.4531,approved
2025-10-21,19.0213,approved
2025-10-22,19.2955,approved
2025-10-23,19.3121,approved
2025-10-24,19.3958,approved
2025-10-25,19.0984,approved
2025-10-26,19.0912,approved
2025-10-27,19.3729,approved
2025-10-28,19.3445,approved
