date,krw_to_vnd,state
2024-01-01,18.3826,approved
2024-01-02,18.4521,approved
2024-01-03,18.2816,approved
2024-01-04,18.3469,approved
2024-01-05,18.3953,approved
2024-01-06,18.5784,approved
2024-01-07,18.5215,approved
2024-01-08,18.3967,approved
2024-01-09,18.4778,approved
2024-01-10,18.4364,approved
2024-01-11,18.34,approved
2024-01-12,18.3604,approved
2024-01-13,18.3457,approved
2024-01-14,18.4262,approved
2024-01-15,18.4493,approved
2024-01-16,18.2969,approved
2024-01-17,18.5284,approved
2024-01-18,18.4496,approved
2024-01-19,18.4369,approved
2024-01-20,18.4271,approved
2024-01-21,18.5838,approved
2024-01-22,18.4449,approved
2024-01-23,18.4488,approved
2024-01-24,18.5241,approved
2024-01-25,18.4699,approved
2024-01-26,18.5359,approved
2024-01-27,18.4836,approved
2024-01-28,18.4853,approved
2024-01-29,18.5794,approved
2024-01-30,18.4817,approved
2024-01-31,18.4179,approved
2024-02-01,18.1593,approved
2024-02-02,18.2681,approved
2024-02-03,18.1898,approved
2024-02-04,18.3306,approved
2024-02-05,18.2965,approved
2024-02-06,18.253,approved
2024-02-07,18.2291,approved
2024-02-08,18.2792,approved
2024-02-09,18.3359,approved
2024-02-10,18.3608,approved
2024-02-11,18.2002,approved
2024-02-12,18.4514,approved
2024-02-13,18.2512,approved
2024-02-14,18.2119,approved
2024-02-15,18.4342,approved
2024-02-16,18.4109,approved
2024-02-17,18.392,approved
2024-02-18,18.2667,approved
2024-02-19,18.4098,approved
2024-02-20,18.3191,approved
2024-02-21,18.22,approved
2024-02-22,18.2813,approved
2024-02-23,18.2376,approved
2024-02-24,18.4143,approved
2024-02-25,18.4396,approved
2024-02-26,18.2661,approved
2024-02-27,18.3403,approved
2024-02-28,18.388,approved
2024-02-29,18.2667,approved
2024-03-01,18.585,approved
2024-03-02,18.433,approved
2024-03-03,18.4054,approved
2024-03-04,18.4523,approved
2024-03-05,18.4936,approved
2024-03-06,18.4579,approved
2024-03-07,18.6265,approved
2024-03-08,18.5335,approved
2024-03-09,18.4224,approved
2024-03-10,18.5675,approved
2024-03-11,18.4286,approved
2024-03-12,18.6691,approved
2024-03-13,18.4538,approved
2024-03-14,18.5177,approved
2024-03-15,18.572,approved
2024-03-16,18.4977,approved
2024-03-17,18.4845,approved
2024-03-18,18.5869,approved
2024-03-19,18.4451,approved
2024-03-20,18.6566,approved
2024-03-21,18.4733,approved
2024-03-22,18.4796,approved
2024-03-23,18.5717,approved
2024-03-24,18.4097,approved
2024-03-25,18.5886,approved
2024-03-26,18.535,approved
2024-03-27,18.6233,approved
2024-03-28,18.5913,approved
2024-03-29,18.6753,approved
2024-03-30,18.5347,approved
2024-03-31,18.6737,approved
2024-04-01,18.2598,approved
2024-04-02,18.222,approved
2024-04-03,18.284,approved
2024-04-04,18.2082,approved
2024-04-05,18.2264,approved
2024-04-06,18.2341,approved
2024-04-07,18.2949,approved
2024-04-08,18.2748,approved
2024-04-09,18.117,approved
2024-04-10,18.4059,approved
2024-04-11,18.4326,approved
2024-04-12,18.2466,approved
2024-04-13,18.3681,approved
2024-04-14,18.3493,approved
2024-04-15,18.2741,approved
2024-04-16,18.2952,approved
2024-04-17,18.4007,approved
2024-04-18,18.1899,approved
2024-04-19,18.3874,approved
2024-04-20,18.4253,approved
2024-04-21,18.2778,approved
2024-04-22,18.4501,approved
2024-04-23,18.3993,approved
2024-04-24,18.427,approved
2024-04-25,18.3352,approved
2024-04-26,18.2634,approved
2024-04-27,18.3195,approved
2024-04-28,18.1723,approved
2024-04-29,18.2901,approved
2024-04-30,18.4131,approved
2024-05-01,18.5418,approved
2024-05-02,18.6437,approved
2024-05-03,18.7787,approved
2024-05-04,18.5769,approved
2024-05-05,18.6498,approved
2024-05-06,18.5032,approved
2024-05-07,18.7051,approved
2024-05-08,18.7081,approved
2024-05-09,18.5842,approved
2024-05-10,18.5628,approved
2024-05-11,18.6081,approved
2024-05-12,18.5466,approved
2024-05-13,18.6935,approved
2024-05-14,18.7374,approved
2024-05-15,18.6661,approved
2024-05-16,18.5153,approved
2024-05-17,18.7909,approved
2024-05-18,18.705,approved
2024-05-19,18.6885,approved
2024-05-20,18.5444,approved
2024-05-21,18.6676,approved
2024-05-22,18.6835,approved
2024-05-23,18.6917,approved
2024-05-24,18.7329,approved
2024-05-25,18.6225,approved
2024-05-26,18.6545,approved
2024-05-27,18.6359,approved
2024-05-28,18.6816,approved
2024-05-29,18.5573,approved
2024-05-30,18.7832,approved
2024-05-31,18.7476,approved
2024-06-01,18.3704,approved
2024-06-02,18.3005,approved
2024-06-03,18.3396,approved
2024-06-04,18.2804,approved
2024-06-05,18.4495,approved
2024-06-06,18.2269,approved
2024-06-07,18.2211,approved
2024-06-08,18.3233,approved
2024-06-09,18.3507,approved
2024-06-10,18.5287,approved
2024-06-11,18.4282,approved
2024-06-12,18.391,approved
2024-06-13,18.2808,approved
2024-06-14,18.2764,approved
2024-06-15,18.2791,approved
2024-06-16,18.4237,approved
2024-06-17,18.4396,approved
2024-06-18,18.4388,approved
2024-06-19,18.2961,approved
2024-06-20,18.2605,approved
2024-06-21,18.3852,approved
2024-06-22,18.4196,approved
2024-06-23,18.4021,approved
2024-06-24,18.4509,approved
2024-06-25,18.4583,approved
2024-06-26,18.4963,approved
2024-06-27,18.4622,approved
2024-06-28,18.2735,approved
2024-06-29,18.3517,approved
2024-06-30,18.3917,approved
2024-07-01,18.3971,approved
2024-07-02,18.1973,approved
2024-07-03,18.2314,approved
2024-07-04,18.2417,approved
2024-07-05,18.3195,approved
2024-07-06,18.2409,approved
2024-07-07,18.2922,approved
2024-07-08,18.1621,approved
2024-07-09,18.2839,approved
2024-07-10,18.3737,approved
2024-07-11,18.3287,approved
2024-07-12,18.2681,approved
2024-07-13,18.3587,approved
2024-07-14,18.3607,approved
2024-07-15,18.3291,approved
2024-07-16,18.3548,approved
2024-07-17,18.3873,approved
2024-07-18,18.2483,approved
2024-07-19,18.2612,approved
2024-07-20,18.3652,approved
2024-07-21,18.4534,approved
2024-07-22,18.311,approved
2024-07-23,18.2405,approved
2024-07-24,18.4245,approved
2024-07-25,18.3043,approved
2024-07-26,18.3008,approved
2024-07-27,18.1462,approved
2024-07-28,18.3291,approved
2024-07-29,18.391,approved
2024-07-30,18.2657,approved
2024-07-31,18.4204,approved
2024-08-01,18.3659,approved
2024-08-02,18.4021,approved
2024-08-03,18.3772,approved
2024-08-04,18.385,approved
2024-08-05,18.3406,approved
2024-08-06,18.4352,approved
2024-08-07,18.4328,approved
2024-08-08,18.4446,approved
2024-08-09,18.4875,approved
2024-08-10,18.341,approved
2024-08-11,18.517,approved
2024-08-12,18.5281,approved
2024-08-13,18.472,approved
2024-08-14,18.5343,approved
2024-08-15,18.4857,approved
2024-08-16,18.64,approved
2024-08-17,18.5846,approved
2024-08-18,18.5674,approved
2024-08-19,18.3968,approved
2024-08-20,18.5101,approved
2024-08-21,18.569,approved
2024-08-22,18.5927,approved
2024-08-23,18.5158,approved
2024-08-24,18.6843,approved
2024-08-25,18.5647,approved
2024-08-26,18.4824,approved
2024-08-27,18.4829,approved
2024-08-28,18.5816,approved
2024-08-29,18.6078,approved
2024-08-30,18.5918,approved
2024-08-31,18.5362,approved
2024-09-01,18.5378,approved
2024-09-02,18.3364,approved
2024-09-03,18.4096,approved
2024-09-04,18.4734,approved
2024-09-05,18.5322,approved
2024-09-06,18.5047,approved
2024-09-07,18.3868,approved
2024-09-08,18.563,approved
2024-09-09,18.5998,approved
2024-09-10,18.6239,approved
2024-09-11,18.5123,approved
2024-09-12,18.6604,approved
2024-09-13,18.5436,approved
2024-09-14,18.5248,approved
2024-09-15,18.5043,approved
2024-09-16,18.4455,approved
2024-09-17,18.4827,approved
2024-09-18,18.515,approved
2024-09-19,18.4825,approved
2024-09-20,18.5171,approved
2024-09-21,18.3439,approved
2024-09-22,18.6031,approved
2024-09-23,18.3886,approved
2024-09-24,18.5449,approved
2024-09-25,18.5424,approved
2024-09-26,18.5276,approved
2024-09-27,18.4905,approved
2024-09-28,18.6121,approved
2024-09-29,18.5914,approved
2024-09-30,18.6133,approved
2024-10-01,18.2469,approved
2024-10-02,18.3895,approved
2024-10-03,18.2227,approved
2024-10-04,18.3315,approved
2024-10-05,18.2215,approved
2024-10-06,18.376,approved
2024-10-07,18.2444,approved
2024-10-08,18.4089,approved
2024-10-09,18.186,approved
2024-10-10,18.225,approved
2024-10-11,18.314,approved
2024-10-12,18.3448,approved
2024-10-13,18.4485,approved
2024-10-14,18.3539,approved
2024-10-15,18.3959,approved
2024-10-16,18.2662,approved
2024-10-17,18.3242,approved
2024-10-18,18.2841,approved
2024-10-19,18.342,approved
2024-10-20,18.3684,approved
2024-10-21,18.3086,approved
2024-10-22,18.4054,approved
2024-10-23,18.425,approved
2024-10-24,18.2179,approved
2024-10-25,18.2742,approved
2024-10-26,18.3146,approved
2024-10-27,18.3366,approved
2024-10-28,18.3854,approved
2024-10-29,18.3993,approved
2024-10-30,18.3038,approved
2024-10-31,18.3705,approved
2024-11-01,18.0495,approved
2024-11-02,18.1976,approved
2024-11-03,18.0937,approved
2024-11-04,18.0599,approved
2024-11-05,18.1742,approved
2024-11-06,18.0744,approved
2024-11-07,17.9879,approved
2024-11-08,18.0991,approved
2024-11-09,18.0764,approved
2024-11-10,18.0389,approved
2024-11-11,18.1604,approved
2024-11-12,18.1571,approved
2024-11-13,18.1624,approved
2024-11-14,18.334,approved
2024-11-15,18.1166,approved
2024-11-16,17.9668,approved
2024-11-17,18.1142,approved
2024-11-18,18.123,approved
2024-11-19,18.2007,approved
2024-11-20,18.246,approved
2024-11-21,18.1912,approved
2024-11-22,18.0158,approved
2024-11-23,18.1492,approved
2024-11-24,18.1644,approved
2024-11-25,18.0794,approved
2024-11-26,18.253,approved
2024-11-27,18.1619,approved
2024-11-28,18.1254,approved
